,Time,262800 __DutyCycle_1,277400 __DutyCycle_1,292000 __DutyCycle_1,262800 __DutyCycle_2,277400 __DutyCycle_2,292000 __DutyCycle_2,262800 __DutyCycle_3,277400 __DutyCycle_3,292000 __DutyCycle_3,262800 __DutyCycle_4,277400 __DutyCycle_4,292000 __DutyCycle_4,262800 __DutyCycle_5,277400 __DutyCycle_5,292000 __DutyCycle_5
20,672.7499949325611,1.6371676404891566e-05,0.00013275415834645976,0.0015078082081957378,3.1946359085877063e-06,3.884181521085495e-06,2.0023703573790463e-05,3.1946359085877063e-06,3.1946359085877063e-06,3.1946359085877063e-06,2.011783569622061e-06,2.011783569622061e-06,2.011783569622061e-06,3.1946359085877063e-06,3.1946359085877063e-06,3.1946359085877063e-06
21,740.0249944258172,2.1790642252605963e-05,0.00017669190249414157,0.002006391752068293,4.252058146247961e-06,5.169842281160797e-06,2.6651461135118737e-05,4.252058146247961e-06,4.252058146247961e-06,4.252058146247961e-06,2.67768303963134e-06,2.67768303963134e-06,2.67768303963134e-06,4.252058146247961e-06,4.252058146247961e-06,4.252058146247961e-06
22,814.027493868399,2.9003240241354256e-05,0.00023517004478523784,0.002669620261997352,5.65948540998118e-06,6.8810541887787124e-06,3.5472938304526025e-05,5.65948540998118e-06,5.65948540998118e-06,5.65948540998118e-06,3.563994546262883e-06,3.563994546262883e-06,3.563994546262883e-06,5.65948540998118e-06,5.65948540998118e-06,5.65948540998118e-06
23,895.430243255239,3.8603127462844e-05,0.00031299914636817583,0.003551693722064986,7.532768025120262e-06,9.158672695130932e-06,4.7214203695800094e-05,7.532768025120262e-06,7.532768025120262e-06,7.532768025120262e-06,4.743673943097271e-06,4.743673943097271e-06,4.743673943097271e-06,7.532768025120262e-06,7.532768025120262e-06,7.532768025120262e-06
24,984.973267580763,5.1380434387904295e-05,0.00041658028176694284,0.004724523405365888,1.002610174216656e-05,1.2190174879855853e-05,6.284161406877597e-05,1.002610174216656e-05,1.002610174216656e-05,1.002610174216656e-05,6.313825061443623e-06,6.313825061443623e-06,6.313825061443623e-06,1.002610174216656e-05,1.002610174216656e-05,1.002610174216656e-05
25,1083.4705943388394,6.838677663423276e-05,0.0005544301241933169,0.006283418554219655,1.3344719275609762e-05,1.6225090031185552e-05,8.364131841065436e-05,1.3344719275609762e-05,1.3344719275609762e-05,1.3344719275609762e-05,8.403692375424932e-06,8.403692375424932e-06,8.403692375424932e-06,1.3344719275609762e-05,1.3344719275609762e-05,1.3344719275609762e-05
26,1191.8176537727234,9.102176948738716e-05,0.0007378787742960968,0.008354520906154739,1.7761782127867498e-05,2.1595536841667595e-05,0.00011132505372202228,1.7761782127867498e-05,1.7761782127867498e-05,1.7761782127867498e-05,1.1185298995020077e-05,1.1185298995020077e-05,1.1185298995020077e-05,1.7761782127867498e-05,1.7761782127867498e-05,1.7761782127867498e-05
27,1310.999419149996,0.00012114815013497537,0.000981996693805831,0.011104463438355583,2.3640862517604333e-05,2.87435568042671e-05,0.0001481709164410372,2.3640862517604333e-05,2.3640862517604333e-05,2.3640862517604333e-05,1.4887605402691406e-05,1.4887605402691406e-05,1.4887605402691406e-05,2.3640862517604333e-05,2.3640862517604333e-05,2.3640862517604333e-05
28,1442.0993610649957,0.0001612449547131467,0.0013068251325770719,0.014752810668320127,3.146586489766179e-05,3.8257492111282154e-05,0.00019721065344846522,3.146586489766179e-05,3.146586489766179e-05,3.146586489766179e-05,1.9815353967778115e-05,1.9815353967778115e-05,1.9815353967778115e-05,3.146586489766179e-05,3.146586489766179e-05,3.146586489766179e-05
29,1586.3092971714955,0.00021461130723843258,0.0017390079485096743,0.019587889251695745,4.188084807732473e-05,5.0920399586984466e-05,0.0002624788122046473,4.188084807732473e-05,4.188084807732473e-05,4.188084807732473e-05,2.637414963790885e-05,2.637414963790885e-05,2.637414963790885e-05,4.188084807732473e-05,4.188084807732473e-05,4.188084807732473e-05
30,1744.9402268886452,0.00028563750376664476,0.0023139531599667418,0.025986589946958794,5.574302241406759e-05,6.777448068129299e-05,0.00034934412190290587,5.574302241406759e-05,5.574302241406759e-05,5.574302241406759e-05,3.5103839940986425e-05,3.5103839940986425e-05,3.5103839940986425e-05,5.574302241406759e-05,5.574302241406759e-05,5.574302241406759e-05
31,1919.4342495775097,0.00038016554395048363,0.0030786915813764137,0.034438523646854735,7.419327835045397e-05,9.0206821939387e-05,0.0004649501408362511,7.419327835045397e-05,7.419327835045397e-05,7.419327835045397e-05,4.67229395121338e-05,4.67229395121338e-05,4.67229395121338e-05,7.419327835045397e-05,7.419327835045397e-05,7.419327835045397e-05
32,2111.3776745352607,0.0005059685000741165,0.004095649165645088,0.04557438391905155,9.87500408989872e-05,0.00012006348748316853,0.0006188010125771637,9.87500408989872e-05,9.87500408989872e-05,9.87500408989872e-05,6.21877516060465e-05,6.21877516060465e-05,6.21877516060465e-05,9.87500408989872e-05,9.87500408989872e-05,9.87500408989872e-05
33,2322.5154419887867,0.0006733876745182998,0.005447610598422692,0.06019723647558761,0.000131434156308452,0.00015980132635862176,0.0008235397874576389,0.000131434156308452,0.000131434156308452,0.000131434156308452,8.277104548148895e-05,8.277104548148895e-05,8.277104548148895e-05,0.000131434156308452,0.000131434156308452,0.000131434156308452
34,2554.7669861876657,0.0008961790933759151,0.007244224601241744,0.07931329612019034,0.00017493505660315378,0.00021268993999778996,0.0010959820315077362,0.00017493505660315378,0.00017493505660315378,0.00017493505660315378,0.00011016675235608897,0.00011016675235608897,0.00011016675235608897,0.00017493505660315378,0.00017493505660315378,0.00017493505660315378
35,2810.2436848064326,0.001192637422501197,0.009630484158640096,0.10415494505965417,0.00023283181899158567,0.00028308034483315314,0.0014584874234540024,0.00023283181899158567,0.00023283181899158567,0.00023283181899158567,0.00014662927383901625,0.00014662927383901625,0.00014662927383901625,0.00023283181899158567,0.00023283181899158567,0.00023283181899158567
36,3091.2680532870763,0.001587087002513199,0.012797700177263005,0.1361825144436124,0.00030988720890723354,0.0003767622857947517,0.0019407780306233136,0.00030988720890723354,0.00030988720890723354,0.00030988720890723354,0.0001951588272623983,0.0001951588272623983,0.0001951588272623983,0.00030988720890723354,0.00030988720890723354,0.00030988720890723354
