Vane,RPM corr [1/min],ER [ - ],M corr [kg/s],eta [fraction]
0,39538.5,1.266928,0.022643,0.342786
0,39538.5,1.33663,0.025331,0.456092
0,39538.5,1.406332,0.027479,0.513634
0,39538.5,1.476034,0.029248,0.542905
0,39538.5,1.545736,0.030734,0.556812
0,39538.5,1.615438,0.031999,0.562018
0,39538.5,1.706051,0.033385,0.561745
0,39538.5,1.823847,0.034849,0.556041
0,39538.5,1.976982,0.03633,0.546577
0,39538.5,2.176058,0.03775,0.536488
0,39538.5,2.434857,0.039012,0.528499
0,39538.5,2.771295,0.040008,0.520203
0,39538.5,3,0.0404,0.51031
0,41333.3,1.05156,0.001,0.01
0,41333.3,1.08156,0.007619,0.01
0,41333.3,1.11156,0.011693,0.01
0,41333.3,1.14156,0.01466,0.01
0,41333.3,1.17156,0.017008,0.01
0,41333.3,1.20156,0.018956,0.01
0,41333.3,1.284537,0.023078,0.322877
0,41333.3,1.367515,0.026086,0.453478
0,41333.3,1.450492,0.028422,0.515107
0,41333.3,1.533469,0.030302,0.544292
0,41333.3,1.616447,0.031848,0.556906
0,41333.3,1.699424,0.033139,0.560787
0,41333.3,1.807294,0.034526,0.559484
0,41333.3,1.947526,0.035956,0.553945
0,41333.3,2.129827,0.037356,0.546669
0,41333.3,2.366819,0.03864,0.54051
0,41333.3,2.674908,0.039703,0.534994
0,41333.3,3,0.040331,0.523322
0,43128.2,1.056096,0.001,0.01
0,43128.2,1.086096,0.007449,0.01
0,43128.2,1.116096,0.011504,0.01
0,43128.2,1.146096,0.014478,0.01
0,43128.2,1.176096,0.016837,0.01
0,43128.2,1.206096,0.018795,0.01
0,43128.2,1.300204,0.023396,0.297049
0,43128.2,1.394312,0.026646,0.444941
0,43128.2,1.48842,0.029114,0.511695
0,43128.2,1.582528,0.031063,0.542225
0,43128.2,1.676636,0.03264,0.555081
0,43128.2,1.770744,0.033938,0.559134
0,43128.2,1.893084,0.035309,0.558539
0,43128.2,2.052126,0.036694,0.554843
0,43128.2,2.258882,0.038014,0.550717
0,43128.2,2.527663,0.039175,0.547686
0,43128.2,2.87708,0.040065,0.540678
0,43128.2,3,0.040259,0.535242
0,44923.1,1.060836,0.001,0.01
0,44923.1,1.090836,0.007281,0.01
0,44923.1,1.120836,0.011313,0.01
0,44923.1,1.150836,0.014291,0.01
0,44923.1,1.180836,0.016658,0.01
0,44923.1,1.210836,0.018627,0.01
0,44923.1,1.321102,0.023887,0.281839
0,44923.1,1.431369,0.02744,0.444924
0,44923.1,1.541635,0.030057,0.513558
0,44923.1,1.651902,0.032073,0.542966
0,44923.1,1.762169,0.033668,0.554609
0,44923.1,1.872435,0.034953,0.558233
0,44923.1,2.015782,0.036281,0.558404
0,44923.1,2.202132,0.037583,0.557172
0,44923.1,2.444388,0.038771,0.556463
0,44923.1,2.75932,0.039743,0.554018
0,44923.1,3,0.040183,0.546044
0,46717.9,1.065781,0.001,0.01
0,46717.9,1.095781,0.007117,0.01
0,46717.9,1.125781,0.01112,0.01
0,46717.9,1.155781,0.014098,0.01
0,46717.9,1.185781,0.016474,0.01
0,46717.9,1.215781,0.018451,0.01
0,46717.9,1.407463,0.026485,0.377875
0,46717.9,1.599146,0.030963,0.514829
0,46717.9,1.790828,0.033862,0.550045
0,46717.9,1.98251,0.035862,0.558407
0,46717.9,2.174192,0.03729,0.560687
0,46717.9,2.365874,0.038328,0.562299
0,46717.9,2.615061,0.039268,0.563561
0,46717.9,2.939004,0.040008,0.558277
0,46717.9,3,0.040102,0.555702
0,48512.8,1.070935,0.001,0.01
0,48512.8,1.100935,0.006956,0.01
0,48512.8,1.130935,0.010926,0.01
0,48512.8,1.160935,0.013902,0.01
0,48512.8,1.190935,0.016284,0.01
0,48512.8,1.220935,0.018269,0.01
0,48512.8,1.42375,0.026669,0.352725
0,48512.8,1.626564,0.03124,0.504494
0,48512.8,1.829379,0.034153,0.545609
0,48512.8,2.032194,0.036135,0.558016
0,48512.8,2.235009,0.037532,0.563622
0,48512.8,2.437824,0.038531,0.567689
0,48512.8,2.701483,0.039414,0.570206
0,48512.8,3,0.040016,0.564189
0,50307.7,1.076298,0.001,0.01
0,50307.7,1.106298,0.006798,0.01
0,50307.7,1.136298,0.010732,0.01
0,50307.7,1.166298,0.013703,0.01
0,50307.7,1.196298,0.016088,0.01
0,50307.7,1.226298,0.01808,0.01
0,50307.7,1.422355,0.026321,0.299055
0,50307.7,1.618411,0.030869,0.478236
0,50307.7,1.814467,0.033794,0.533393
0,50307.7,2.010524,0.035803,0.553286
0,50307.7,2.20658,0.03723,0.563115
0,50307.7,2.402636,0.038262,0.569925
0,50307.7,2.65751,0.03919,0.575415
0,50307.7,2.988845,0.03991,0.571907
0,50307.7,3,0.039926,0.571479
0,52102.6,1.081874,0.001,0.01
0,52102.6,1.111874,0.006644,0.01
0,52102.6,1.141874,0.010538,0.01
0,52102.6,1.171874,0.013501,0.01
0,52102.6,1.201874,0.015888,0.01
0,52102.6,1.231874,0.017886,0.01
0,52102.6,1.44589,0.026685,0.281788
0,52102.6,1.659906,0.031364,0.472054
0,52102.6,1.873921,0.034299,0.530582
0,52102.6,2.087937,0.036271,0.553572
0,52102.6,2.301953,0.037642,0.566495
0,52102.6,2.515968,0.038607,0.575446
0,52102.6,2.794189,0.03944,0.580746
0,52102.6,3,0.039832,0.577546
0,53897.4,1.087665,0.001,0.01
0,53897.4,1.117665,0.006493,0.01
0,53897.4,1.147665,0.010344,0.01
0,53897.4,1.177665,0.013296,0.01
0,53897.4,1.207665,0.015684,0.01
0,53897.4,1.237665,0.017686,0.01
0,53897.4,1.440679,0.026205,0.213633
0,53897.4,1.643693,0.030841,0.435719
0,53897.4,1.846706,0.033794,0.511241
0,53897.4,2.04972,0.035806,0.543206
0,53897.4,2.252734,0.037225,0.561122
0,53897.4,2.455748,0.038241,0.573484
0,53897.4,2.719666,0.039143,0.583142
0,53897.4,3,0.039733,0.582364
0,55692.3,1.093672,0.001,0.01
0,55692.3,1.123672,0.006347,0.01
0,55692.3,1.153672,0.010152,0.01
0,55692.3,1.183672,0.01309,0.01
0,55692.3,1.213672,0.015477,0.01
0,55692.3,1.243672,0.017482,0.01
0,55692.3,1.465861,0.026585,0.197772
0,55692.3,1.688051,0.031351,0.430644
0,55692.3,1.91024,0.03431,0.509184
0,55692.3,2.13243,0.036279,0.544091
0,55692.3,2.354619,0.037636,0.564895
0,55692.3,2.576809,0.03858,0.578923
0,55692.3,2.865655,0.03938,0.587124
0,55692.3,3,0.039629,0.585907
0,57487.2,1.099899,0.001,0.01
0,57487.2,1.129899,0.006204,0.01
0,57487.2,1.159899,0.00996,0.01
0,57487.2,1.189899,0.012883,0.01
