Nozzle	RPM	PRT	Q	EtaT
0.4	29263.15	2.843553729	1.083296	0.91310756
0.4	29263.15	3.117205645	1.124152	0.92393852
0.4	29263.15	3.491748179	1.166512	0.93044327
0.4	29263.15	4.010410765	1.208192	0.931251403
0.4	29263.15	4.738345047	1.246592	0.925081813
0.4	29263.15	5.775360627	1.278992	0.91066001
0.4	29263.15	7.276776003	1.303128	0.886548335
0.4	29263.15	9.487675163	1.317792	0.850986095
0.4	29263.15	12.79965823	1.323416	0.801660245
0.4	29263.15	16	1.323224	0.758437835
0.4	31105.25	1.344653606	0.008	0.061025
0.4	31105.25	1.415129126	1.91E-01	0.061025
0.4	31105.25	1.487404646	3.30E-01	0.061025
0.4	31105.25	1.561480166	0.439872	0.106176785
0.4	31105.25	1.637355686	0.530272	0.2857145
0.4	31105.25	1.715031206	0.606112	0.41850401
0.4	31105.25	2.033176551	0.814768	0.701989835
0.4	31105.25	2.378374671	0.947	0.82272902
0.4	31105.25	2.750628884	1.038384	0.881259643
0.4	31105.25	3.149932788	1.104632	0.911130778
0.4	31105.25	3.57629325	1.154072	0.926026655
0.4	31105.25	4.029702938	1.191664	0.932328545
0.4	31105.25	4.65958418	1.227936	0.93288641
0.4	31105.25	5.546778626	1.260416	0.9260465
0.4	31105.25	6.81563962	1.286672	0.910063558
0.4	31105.25	8.660377894	1.304904	0.882989465
0.4	31105.25	11.38845835	1.314488	0.842495743
0.4	31105.25	15.49252109	1.316504	0.785465623
0.4	31105.25	16	1.316384	0.778762423
0.4	32947.35	1.394555514	0.008	0.061025
0.4	32947.35	1.466310294	1.78E-01	0.061025
0.4	32947.35	1.539865074	3.11E-01	0.061025
0.4	32947.35	1.615219854	0.418608	0.061025
0.4	32947.35	1.692374634	0.507648	0.197494655
0.4	32947.35	1.771329414	0.582992	0.33429506
0.4	32947.35	2.045534969	0.76804	0.609719405
0.4	32947.35	2.339468139	0.892976	0.74838083
0.4	32947.35	2.653126261	0.983096	0.825728923
0.4	32947.35	2.986509335	1.050768	0.87152567
0.4	32947.35	3.339617361	1.10292	0.899416715
0.4	32947.35	3.71245034	1.143824	0.916363243
0.4	32947.35	4.226622016	1.184744	0.928147865
0.4	32947.35	4.944881717	1.223216	0.932822465
0.4	32947.35	5.962841423	1.256568	0.928434515
0.4	32947.35	7.428524683	1.28244	0.912951005
0.4	32947.35	9.574463513	1.299336	0.884109605
0.4	32947.35	12.77070987	1.307192	0.839158475
0.4	32947.35	16	1.308136	0.795292205
0.4	34789.45	1.449488379	0.008	0.061025
0.4	34789.45	1.522625199	1.67E-01	0.061025
0.4	34789.45	1.597562019	2.93E-01	0.061025
0.4	34789.45	1.674298839	0.397488	0.061025
0.4	34789.45	1.752835659	0.484728	0.111469888
0.4	34789.45	1.833172479	0.559184	0.25029779
0.4	34789.45	2.249628015	0.808856	0.623814868
0.4	34789.45	2.70867739	0.957112	0.780030298
0.4	34789.45	3.21031431	1.054368	0.856436855
