Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
310.00	0.20000	1.1546	0.86614	435.66	608.89	7.3375	0.77457	1.0719	489.83	0.071920	2.9036e-05	0.042968	vapor
320.00	0.20000	1.1351	0.88099	443.42	619.62	7.3558	0.77667	1.0740	493.82	0.040512	2.9378e-05	0.043541	vapor
330.00	0.20000	1.1163	0.89584	451.20	630.37	7.3738	0.77881	1.0761	497.77	0.010416	2.9716e-05	0.044114	vapor
340.00	0.20000	1.0981	0.91070	459.00	641.14	7.3915	0.78099	1.0783	501.68	-0.018437	3.0053e-05	0.044686	vapor
350.00	0.20000	1.0804	0.92555	466.82	651.93	7.4089	0.78321	1.0805	505.56	-0.046110	3.0386e-05	0.045257	vapor
360.00	0.20000	1.0634	0.94040	474.67	662.75	7.4261	0.78546	1.0827	509.39	-0.072662	3.0718e-05	0.045827	vapor
370.00	0.20000	1.0468	0.95525	482.54	673.59	7.4431	0.78774	1.0850	513.19	-0.098149	3.1047e-05	0.046397	vapor
380.00	0.20000	1.0308	0.97010	490.43	684.45	7.4599	0.79005	1.0873	516.95	-0.12262	3.1373e-05	0.046966	vapor
390.00	0.20000	1.0153	0.98495	498.34	695.33	7.4764	0.79238	1.0896	520.68	-0.14613	3.1698e-05	0.047534	vapor
400.00	0.20000	1.0002	0.99980	506.28	706.24	7.4928	0.79474	1.0919	524.37	-0.16873	3.2020e-05	0.048101	vapor
410.00	0.20000	0.98556	1.0147	514.24	717.17	7.5089	0.79711	1.0943	528.03	-0.19045	3.2340e-05	0.048667	vapor
420.00	0.20000	0.97134	1.0295	522.23	728.13	7.5248	0.79950	1.0967	531.66	-0.21134	3.2658e-05	0.049232	vapor
430.00	0.20000	0.95753	1.0444	530.24	739.11	7.5405	0.80190	1.0991	535.26	-0.23144	3.2974e-05	0.049796	vapor
440.00	0.20000	0.94411	1.0592	538.27	750.11	7.5561	0.80432	1.1015	538.83	-0.25078	3.3288e-05	0.050360	vapor
450.00	0.20000	0.93106	1.0740	546.32	761.13	7.5714	0.80674	1.1039	542.37	-0.26940	3.3600e-05	0.050922	vapor
460.00	0.20000	0.91836	1.0889	554.41	772.19	7.5866	0.80917	1.1063	545.88	-0.28733	3.3911e-05	0.051484	vapor
470.00	0.20000	0.90601	1.1037	562.51	783.26	7.6016	0.81160	1.1087	549.37	-0.30461	3.4219e-05	0.052044	vapor
480.00	0.20000	0.89398	1.1186	570.64	794.36	7.6164	0.81403	1.1111	552.82	-0.32126	3.4525e-05	0.052604	vapor
490.00	0.20000	0.88227	1.1334	578.79	805.48	7.6311	0.81646	1.1135	556.26	-0.33731	3.4830e-05	0.053162	vapor
500.00	0.20000	0.87086	1.1483	586.97	816.63	7.6456	0.81889	1.1160	559.66	-0.35279	3.5133e-05	0.053719	vapor
510.00	0.20000	0.85975	1.1631	595.18	827.80	7.6600	0.82132	1.1184	563.04	-0.36773	3.5434e-05	0.054275	vapor
520.00	0.20000	0.84891	1.1780	603.40	839.00	7.6742	0.82374	1.1208	566.40	-0.38214	3.5733e-05	0.054830	vapor
530.00	0.20000	0.83834	1.1928	611.65	850.22	7.6882	0.82615	1.1232	569.74	-0.39605	3.6031e-05	0.055384	vapor
540.00	0.20000	0.82804	1.2077	619.93	861.46	7.7021	0.82855	1.1256	573.05	-0.40948	3.6327e-05	0.055936	vapor
550.00	0.20000	0.81798	1.2225	628.23	872.73	7.7159	0.83095	1.1280	576.34	-0.42245	3.6622e-05	0.056487	vapor
560.00	0.20000	0.80817	1.2374	636.55	884.02	7.7296	0.83333	1.1304	579.60	-0.43499	3.6915e-05	0.057037	vapor
570.00	0.20000	0.79859	1.2522	644.89	895.34	7.7431	0.83570	1.1327	582.85	-0.44710	3.7207e-05	0.057585	vapor
580.00	0.20000	0.78923	1.2671	653.26	906.68	7.7564	0.83805	1.1351	586.07	-0.45882	3.7497e-05	0.058133	vapor
590.00	0.20000	0.78009	1.2819	661.66	918.04	7.7697	0.84039	1.1374	589.28	-0.47015	3.7785e-05	0.058678	vapor
600.00	0.20000	0.77116	1.2967	670.07	929.42	7.7828	0.84272	1.1397	592.47	-0.48110	3.8072e-05	0.059223	vapor
610.00	0.20000	0.76243	1.3116	678.51	940.83	7.7958	0.84503	1.1420	595.63	-0.49171	3.8358e-05	0.059766	vapor
620.00	0.20000	0.75390	1.3264	686.98	952.26	7.8086	0.84732	1.1443	598.78	-0.50197	3.8643e-05	0.060307	vapor
630.00	0.20000	0.74556	1.3413	695.46	963.72	7.8214	0.84959	1.1466	601.91	-0.51191	3.8926e-05	0.060847	vapor
640.00	0.20000	0.73740	1.3561	703.97	975.20	7.8340	0.85184	1.1488	605.02	-0.52154	3.9207e-05	0.061386	vapor
650.00	0.20000	0.72941	1.3710	712.50	986.69	7.8466	0.85408	1.1510	608.11	-0.53086	3.9488e-05	0.061923	vapor
660.00	0.20000	0.72160	1.3858	721.05	998.22	7.8590	0.85629	1.1533	611.19	-0.53990	3.9767e-05	0.062459	vapor
670.00	0.20000	0.71395	1.4007	729.63	1009.8	7.8713	0.85849	1.1554	614.25	-0.54865	4.0045e-05	0.062993	vapor
680.00	0.20000	0.70646	1.4155	738.22	1021.3	7.8835	0.86066	1.1576	617.29	-0.55715	4.0322e-05	0.063526	vapor
690.00	0.20000	0.69913	1.4303	746.84	1032.9	7.8956	0.86281	1.1598	620.32	-0.56538	4.0597e-05	0.064057	vapor
700.00	0.20000	0.69195	1.4452	755.48	1044.5	7.9076	0.86494	1.1619	623.33	-0.57337	4.0871e-05	0.064586	vapor
710.00	0.20000	0.68492	1.4600	764.14	1056.1	7.9194	0.86705	1.1640	626.33	-0.58112	4.1144e-05	0.065114	vapor
720.00	0.20000	0.67802	1.4749	772.82	1067.8	7.9312	0.86913	1.1661	629.31	-0.58865	4.1416e-05	0.065641	vapor
730.00	0.20000	0.67127	1.4897	781.53	1079.5	7.9429	0.87120	1.1681	632.27	-0.59595	4.1687e-05	0.066166	vapor
740.00	0.20000	0.66464	1.5046	790.25	1091.2	7.9545	0.87324	1.1702	635.22	-0.60305	4.1957e-05	0.066689	vapor
750.00	0.20000	0.65815	1.5194	798.99	1102.9	7.9660	0.87526	1.1722	638.16	-0.60994	4.2225e-05	0.067211	vapor
760.00	0.20000	0.65178	1.5343	807.76	1114.6	7.9774	0.87726	1.1742	641.08	-0.61663	4.2493e-05	0.067731	vapor
770.00	0.20000	0.64554	1.5491	816.54	1126.4	7.9888	0.87923	1.1762	643.99	-0.62314	4.2760e-05	0.068250	vapor
780.00	0.20000	0.63941	1.5639	825.34	1138.1	8.0000	0.88118	1.1781	646.89	-0.62947	4.3025e-05	0.068767	vapor
790.00	0.20000	0.63340	1.5788	834.16	1149.9	8.0111	0.88311	1.1800	649.77	-0.63562	4.3290e-05	0.069282	vapor
800.00	0.20000	0.62750	1.5936	843.01	1161.7	8.0222	0.88501	1.1819	652.64	-0.64160	4.3553e-05	0.069796	vapor
810.00	0.20000	0.62171	1.6085	851.87	1173.6	8.0332	0.88689	1.1838	655.49	-0.64741	4.3816e-05	0.070309	vapor
820.00	0.20000	0.61603	1.6233	860.74	1185.4	8.0440	0.88875	1.1857	658.33	-0.65307	4.4077e-05	0.070820	vapor
830.00	0.20000	0.61044	1.6382	869.64	1197.3	8.0549	0.89059	1.1875	661.16	-0.65858	4.4338e-05	0.071329	vapor
840.00	0.20000	0.60496	1.6530	878.56	1209.2	8.0656	0.89240	1.1893	663.98	-0.66394	4.4597e-05	0.071837	vapor
850.00	0.20000	0.59958	1.6678	887.49	1221.1	8.0762	0.89419	1.1911	666.79	-0.66916	4.4856e-05	0.072343	vapor
